experiment,model,feature_set,train_windows,n,accuracy,precision,recall,f1,f2,fpr,tp,tn,fp,fn,adaptation_sinkhole_seeds,adaptation_windows,adaptation_seeds,test_seeds
adapt_2_sinkhole_seeds,cart,coarse,126,54,0.7222,0,0.0,0,0,0.0,0,39,0,15,2,36,"345678,456789","123456,234567,567890"
adapt_2_sinkhole_seeds,cart,coarse,126,54,0.7037,0.0,0.0,0,0,0.0256,0,38,1,15,2,36,"345678,567890","123456,234567,456789"
adapt_2_sinkhole_seeds,cart,coarse,126,54,0.7222,0,0.0,0,0,0.0,0,39,0,15,2,36,"456789,567890","123456,234567,345678"
adapt_3_sinkhole_seeds,cart,coarse,144,36,0.7222,0.5,0.1,0.1667,0.119,0.0385,1,25,1,9,3,54,"123456,234567,345678","456789,567890"
adapt_3_sinkhole_seeds,cart,coarse,144,36,0.6944,0.3333,0.1,0.1538,0.1163,0.0769,1,24,2,9,3,54,"123456,234567,456789","345678,567890"
adapt_3_sinkhole_seeds,cart,coarse,144,36,0.7222,0,0.0,0,0,0.0,0,26,0,10,3,54,"123456,234567,567890","345678,456789"
adapt_3_sinkhole_seeds,cart,coarse,144,36,0.7222,0,0.0,0,0,0.0,0,26,0,10,3,54,"123456,345678,456789","234567,567890"
adapt_3_sinkhole_seeds,cart,coarse,144,36,0.7222,0,0.0,0,0,0.0,0,26,0,10,3,54,"123456,345678,567890","234567,456789"
adapt_3_sinkhole_seeds,cart,coarse,144,36,0.7222,0,0.0,0,0,0.0,0,26,0,10,3,54,"123456,456789,567890","234567,345678"
adapt_3_sinkhole_seeds,cart,coarse,144,36,0.7778,1.0,0.2,0.3333,0.2381,0.0,2,26,0,8,3,54,"234567,345678,456789","123456,567890"
adapt_3_sinkhole_seeds,cart,coarse,144,36,0.6667,0.25,0.1,0.1429,0.1136,0.1154,1,23,3,9,3,54,"234567,345678,567890","123456,456789"
adapt_3_sinkhole_seeds,cart,coarse,144,36,0.75,1.0,0.1,0.1818,0.122,0.0,1,26,0,9,3,54,"234567,456789,567890","123456,345678"
adapt_3_sinkhole_seeds,cart,coarse,144,36,0.7222,0,0.0,0,0,0.0,0,26,0,10,3,54,"345678,456789,567890","123456,234567"
adapt_0_sinkhole_seeds,cart,coarse_plus_routing,90,90,0.7222,0,0.0,0,0,0.0,0,65,0,25,0,0,,"123456,234567,345678,456789,567890"
adapt_1_sinkhole_seeds,cart,coarse_plus_routing,108,72,0.8333,1.0,0.4,0.5714,0.4545,0.0,8,52,0,12,1,18,123456,"234567,345678,456789,567890"
adapt_1_sinkhole_seeds,cart,coarse_plus_routing,108,72,0.9861,1.0,0.95,0.9744,0.9596,0.0,19,52,0,1,1,18,234567,"123456,345678,456789,567890"
adapt_1_sinkhole_seeds,cart,coarse_plus_routing,108,72,0.8333,1.0,0.4,0.5714,0.4545,0.0,8,52,0,12,1,18,345678,"123456,234567,456789,567890"
adapt_1_sinkhole_seeds,cart,coarse_plus_routing,108,72,0.9722,1.0,0.9,0.9474,0.9184,0.0,18,52,0,2,1,18,456789,"123456,234567,345678,567890"
adapt_1_sinkhole_seeds,cart,coarse_plus_routing,108,72,1.0,1.0,1.0,1.0,1.0,0.0,20,52,0,0,1,18,567890,"123456,234567,345678,456789"
adapt_2_sinkhole_seeds,cart,coarse_plus_routing,126,54,0.9815,1.0,0.9333,0.9655,0.9459,0.0,14,39,0,1,2,36,"123456,234567","345678,456789,567890"
adapt_2_sinkhole_seeds,cart,coarse_plus_routing,126,54,0.7778,1.0,0.2,0.3333,0.2381,0.0,3,39,0,12,2,36,"123456,345678","234567,456789,567890"
adapt_2_sinkhole_seeds,cart,coarse_plus_routing,126,54,0.963,1.0,0.8667,0.9286,0.8904,0.0,13,39,0,2,2,36,"123456,456789","234567,345678,567890"
adapt_2_sinkhole_seeds,cart,coarse_plus_routing,126,54,1.0,1.0,1.0,1.0,1.0,0.0,15,39,0,0,2,36,"123456,567890","234567,345678,456789"
adapt_2_sinkhole_seeds,cart,coarse_plus_routing,126,54,0.9815,1.0,0.9333,0.9655,0.9459,0.0,14,39,0,1,2,36,"234567,345678","123456,456789,567890"
adapt_2_sinkhole_seeds,cart,coarse_plus_routing,126,54,0.9815,1.0,0.9333,0.9655,0.9459,0.0,14,39,0,1,2,36,"234567,456789","123456,345678,567890"
adapt_2_sinkhole_seeds,cart,coarse_plus_routing,126,54,1.0,1.0,1.0,1.0,1.0,0.0,15,39,0,0,2,36,"234567,567890","123456,345678,456789"
adapt_2_sinkhole_seeds,cart,coarse_plus_routing,126,54,0.963,1.0,0.8667,0.9286,0.8904,0.0,13,39,0,2,2,36,"345678,456789","123456,234567,567890"
adapt_2_sinkhole_seeds,cart,coarse_plus_routing,126,54,1.0,1.0,1.0,1.0,1.0,0.0,15,39,0,0,2,36,"345678,567890","123456,234567,456789"
adapt_2_sinkhole_seeds,cart,coarse_plus_routing,126,54,1.0,1.0,1.0,1.0,1.0,0.0,15,39,0,0,2,36,"456789,567890","123456,234567,345678"
adapt_3_sinkhole_seeds,cart,coarse_plus_routing,144,36,0.9722,1.0,0.9,0.9474,0.9184,0.0,9,26,0,1,3,54,"123456,234567,345678","456789,567890"
adapt_3_sinkhole_seeds,cart,coarse_plus_routing,144,36,0.9722,1.0,0.9,0.9474,0.9184,0.0,9,26,0,1,3,54,"123456,234567,456789","345678,567890"
adapt_3_sinkhole_seeds,cart,coarse_plus_routing,144,36,1.0,1.0,1.0,1.0,1.0,0.0,10,26,0,0,3,54,"123456,234567,567890","345678,456789"
adapt_3_sinkhole_seeds,cart,coarse_plus_routing,144,36,0.9444,1.0,0.8,0.8889,0.8333,0.0,8,26,0,2,3,54,"123456,345678,456789","234567,567890"
adapt_3_sinkhole_seeds,cart,coarse_plus_routing,144,36,1.0,1.0,1.0,1.0,1.0,0.0,10,26,0,0,3,54,"123456,345678,567890","234567,456789"
adapt_3_sinkhole_seeds,cart,coarse_plus_routing,144,36,1.0,1.0,1.0,1.0,1.0,0.0,10,26,0,0,3,54,"123456,456789,567890","234567,345678"
adapt_3_sinkhole_seeds,cart,coarse_plus_routing,144,36,0.9722,1.0,0.9,0.9474,0.9184,0.0,9,26,0,1,3,54,"234567,345678,456789","123456,567890"
adapt_3_sinkhole_seeds,cart,coarse_plus_routing,144,36,1.0,1.0,1.0,1.0,1.0,0.0,10,26,0,0,3,54,"234567,345678,567890","123456,456789"
adapt_3_sinkhole_seeds,cart,coarse_plus_routing,144,36,1.0,1.0,1.0,1.0,1.0,0.0,10,26,0,0,3,54,"234567,456789,567890","123456,345678"
adapt_3_sinkhole_seeds,cart,coarse_plus_routing,144,36,1.0,1.0,1.0,1.0,1.0,0.0,10,26,0,0,3,54,"345678,456789,567890","123456,234567"
