run_id,family,mode,binary_run_label,window_label,nodes,seed,window_start_s,window_end_s,post_activation,app_tx_delta,app_rx_delta,app_missed_delta,app_reporting_nodes,parent_found_events,no_parent_events,radio_tx_count,radio_bytes,radio_interfered_count,unique_radio_senders,attacker_node16_radio_tx,root_node1_radio_tx,sinkhole_attack_enabled_events,sinkhole_advertised_rank_events,blackhole_attack_enabled_events,blackhole_drop_events
BH_CONTROL_N16_SEED567890,blackhole,control,0,0,16,567890,360,420,1,10,10,0,1,0,0,1022,36941,2067,16,335,170,0,0,0,0
BH_CONTROL_N16_SEED567890,blackhole,control,0,0,16,567890,420,480,1,140,140,0,14,0,0,1065,39293,2165,16,340,171,0,0,0,0
BH_CONTROL_N16_SEED567890,blackhole,control,0,0,16,567890,480,540,1,40,40,0,4,0,0,1062,38749,2149,16,346,174,0,0,0,0
SH_ATTACK_N16_SEED123456,sinkhole,attack,1,0,16,123456,0,60,0,0,0,0,0,15,15,623,27507,1290,16,188,90,0,0,0,0
SH_ATTACK_N16_SEED123456,sinkhole,attack,1,0,16,123456,60,120,0,0,0,0,0,0,0,1069,40249,2128,16,337,171,0,0,0,0
SH_ATTACK_N16_SEED123456,sinkhole,attack,1,0,16,123456,120,180,0,140,140,0,14,0,0,1046,38768,2088,16,337,172,0,0,0,0
SH_ATTACK_N16_SEED123456,sinkhole,attack,1,0,16,123456,180,240,0,40,40,0,4,0,0,1029,37392,2001,16,333,168,0,0,0,0
SH_ATTACK_N16_SEED123456,sinkhole,attack,1,1,16,123456,240,300,1,100,98,0,10,0,0,1063,39915,2102,16,343,175,1,1,0,0
SH_ATTACK_N16_SEED123456,sinkhole,attack,1,1,16,123456,300,360,1,130,130,0,13,0,0,1035,37708,2053,16,337,170,0,0,0,0
SH_ATTACK_N16_SEED123456,sinkhole,attack,1,1,16,123456,360,420,1,10,10,0,1,0,0,1044,37922,2041,16,340,172,0,0,0,0
SH_ATTACK_N16_SEED123456,sinkhole,attack,1,1,16,123456,420,480,1,140,140,0,14,0,0,1054,38708,2085,16,340,170,0,0,0,0
SH_ATTACK_N16_SEED123456,sinkhole,attack,1,1,16,123456,480,540,1,30,30,0,3,0,0,1052,38639,2075,16,340,169,0,0,0,0
SH_ATTACK_N16_SEED234567,sinkhole,attack,1,0,16,234567,0,60,0,0,0,0,0,15,15,611,27199,1316,16,184,88,0,0,0,0
SH_ATTACK_N16_SEED234567,sinkhole,attack,1,0,16,234567,60,120,0,0,0,0,0,0,0,1073,40168,2230,16,342,170,0,0,0,0
SH_ATTACK_N16_SEED234567,sinkhole,attack,1,0,16,234567,120,180,0,140,140,0,14,0,0,1072,39625,2230,16,343,175,0,0,0,0
SH_ATTACK_N16_SEED234567,sinkhole,attack,1,0,16,234567,180,240,0,60,60,0,6,0,0,1031,37414,2100,16,337,171,0,0,0,0
