model,source_family,target_family,adaptation_seed_count,adaptation_seeds,evaluation_seeds,features_used,source_runs,adaptation_runs,evaluation_runs,train_windows,test_windows,accuracy,precision,recall,f1,fpr,tp,tn,fp,fn
cart,grayhole,worst_parent,2,"123456,234567","345678,456789,567890",58,10,4,6,126,54,1.0,1.0,1.0,1.0,0.0,15,39,0,0
cart,grayhole,worst_parent,3,"123456,234567,345678","456789,567890",58,10,6,4,144,36,1.0,1.0,1.0,1.0,0.0,10,26,0,0
cart,increase_rank,blackhole,0,,"123456,234567,345678,456789,567890",58,10,0,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cart,increase_rank,blackhole,1,123456,"234567,345678,456789,567890",58,10,2,8,108,72,1.0,1.0,1.0,1.0,0.0,20,52,0,0
cart,increase_rank,blackhole,2,"123456,234567","345678,456789,567890",58,10,4,6,126,54,1.0,1.0,1.0,1.0,0.0,15,39,0,0
cart,increase_rank,blackhole,3,"123456,234567,345678","456789,567890",58,10,6,4,144,36,1.0,1.0,1.0,1.0,0.0,10,26,0,0
cart,increase_rank,dio_suppression,0,,"123456,234567,345678,456789,567890",58,10,0,10,90,90,0.7222,0.5,0.28,0.359,0.1077,7,58,7,18
cart,increase_rank,dio_suppression,1,123456,"234567,345678,456789,567890",58,10,2,8,108,72,0.75,0.5833,0.35,0.4375,0.0962,7,47,5,13
cart,increase_rank,dio_suppression,2,"123456,234567","345678,456789,567890",58,10,4,6,126,54,0.7593,0.5833,0.4667,0.5185,0.1282,7,34,5,8
cart,increase_rank,dio_suppression,3,"123456,234567,345678","456789,567890",58,10,6,4,144,36,0.75,1.0,0.1,0.1818,0.0,1,26,0,9
cart,increase_rank,dis_flood,0,,"123456,234567,345678,456789,567890",58,10,0,10,90,90,0.7,0.4167,0.2,0.2703,0.1077,5,58,7,20
cart,increase_rank,dis_flood,1,123456,"234567,345678,456789,567890",58,10,2,8,108,72,1.0,1.0,1.0,1.0,0.0,20,52,0,0
cart,increase_rank,dis_flood,2,"123456,234567","345678,456789,567890",58,10,4,6,126,54,1.0,1.0,1.0,1.0,0.0,15,39,0,0
cart,increase_rank,dis_flood,3,"123456,234567,345678","456789,567890",58,10,6,4,144,36,0.9167,0.7692,1.0,0.8696,0.1154,10,23,3,0
cart,increase_rank,grayhole,0,,"123456,234567,345678,456789,567890",58,10,0,10,90,90,0.7,0.4167,0.2,0.2703,0.1077,5,58,7,20
cart,increase_rank,grayhole,1,123456,"234567,345678,456789,567890",58,10,2,8,108,72,0.7639,1.0,0.15,0.2609,0.0,3,52,0,17
cart,increase_rank,grayhole,2,"123456,234567","345678,456789,567890",58,10,4,6,126,54,0.9815,1.0,0.9333,0.9655,0.0,14,39,0,1
cart,increase_rank,grayhole,3,"123456,234567,345678","456789,567890",58,10,6,4,144,36,1.0,1.0,1.0,1.0,0.0,10,26,0,0
cart,increase_rank,sinkhole,0,,"123456,234567,345678,456789,567890",58,10,0,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cart,increase_rank,sinkhole,1,123456,"234567,345678,456789,567890",58,10,2,8,108,72,0.8056,0.5882,1.0,0.7407,0.2692,20,38,14,0
cart,increase_rank,sinkhole,2,"123456,234567","345678,456789,567890",58,10,4,6,126,54,0.8889,0.7143,1.0,0.8333,0.1538,15,33,6,0
cart,increase_rank,sinkhole,3,"123456,234567,345678","456789,567890",58,10,6,4,144,36,1.0,1.0,1.0,1.0,0.0,10,26,0,0
cart,increase_rank,sybil,0,,"123456,234567,345678,456789,567890",58,10,0,10,90,90,0.7,0.4167,0.2,0.2703,0.1077,5,58,7,20
cart,increase_rank,sybil,1,123456,"234567,345678,456789,567890",58,10,2,8,108,72,0.9306,1.0,0.75,0.8571,0.0,15,52,0,5
cart,increase_rank,sybil,2,"123456,234567","345678,456789,567890",58,10,4,6,126,54,0.9259,1.0,0.7333,0.8462,0.0,11,39,0,4
cart,increase_rank,sybil,3,"123456,234567,345678","456789,567890",58,10,6,4,144,36,1.0,1.0,1.0,1.0,0.0,10,26,0,0
cart,increase_rank,wormhole,0,,"123456,234567,345678,456789,567890",58,10,0,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cart,increase_rank,wormhole,1,123456,"234567,345678,456789,567890",58,10,2,8,108,72,1.0,1.0,1.0,1.0,0.0,20,52,0,0
cart,increase_rank,wormhole,2,"123456,234567","345678,456789,567890",58,10,4,6,126,54,1.0,1.0,1.0,1.0,0.0,15,39,0,0
cart,increase_rank,wormhole,3,"123456,234567,345678","456789,567890",58,10,6,4,144,36,1.0,1.0,1.0,1.0,0.0,10,26,0,0
cart,increase_rank,worst_parent,0,,"123456,234567,345678,456789,567890",58,10,0,10,90,90,0.9222,0.7812,1.0,0.8772,0.1077,25,58,7,0
cart,increase_rank,worst_parent,1,123456,"234567,345678,456789,567890",58,10,2,8,108,72,1.0,1.0,1.0,1.0,0.0,20,52,0,0
cart,increase_rank,worst_parent,2,"123456,234567","345678,456789,567890",58,10,4,6,126,54,1.0,1.0,1.0,1.0,0.0,15,39,0,0
cart,increase_rank,worst_parent,3,"123456,234567,345678","456789,567890",58,10,6,4,144,36,0.9167,0.7692,1.0,0.8696,0.1154,10,23,3,0
cart,sinkhole,blackhole,0,,"123456,234567,345678,456789,567890",58,10,0,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cart,sinkhole,blackhole,1,123456,"234567,345678,456789,567890",58,10,2,8,108,72,1.0,1.0,1.0,1.0,0.0,20,52,0,0
cart,sinkhole,blackhole,2,"123456,234567","345678,456789,567890",58,10,4,6,126,54,1.0,1.0,1.0,1.0,0.0,15,39,0,0
cart,sinkhole,blackhole,3,"123456,234567,345678","456789,567890",58,10,6,4,144,36,1.0,1.0,1.0,1.0,0.0,10,26,0,0
cart,sinkhole,dio_suppression,0,,"123456,234567,345678,456789,567890",58,10,0,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cart,sinkhole,dio_suppression,1,123456,"234567,345678,456789,567890",58,10,2,8,108,72,0.7222,0.5,0.05,0.0909,0.0192,1,51,1,19
cart,sinkhole,dio_suppression,2,"123456,234567","345678,456789,567890",58,10,4,6,126,54,0.7963,0.5769,1.0,0.7317,0.2821,15,28,11,0
cart,sinkhole,dio_suppression,3,"123456,234567,345678","456789,567890",58,10,6,4,144,36,0.75,0.5263,1.0,0.6897,0.3462,10,17,9,0
cart,sinkhole,dis_flood,0,,"123456,234567,345678,456789,567890",58,10,0,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cart,sinkhole,dis_flood,1,123456,"234567,345678,456789,567890",58,10,2,8,108,72,1.0,1.0,1.0,1.0,0.0,20,52,0,0
cart,sinkhole,dis_flood,2,"123456,234567","345678,456789,567890",58,10,4,6,126,54,1.0,1.0,1.0,1.0,0.0,15,39,0,0
cart,sinkhole,dis_flood,3,"123456,234567,345678","456789,567890",58,10,6,4,144,36,1.0,1.0,1.0,1.0,0.0,10,26,0,0
cart,sinkhole,grayhole,0,,"123456,234567,345678,456789,567890",58,10,0,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cart,sinkhole,grayhole,1,123456,"234567,345678,456789,567890",58,10,2,8,108,72,0.9444,1.0,0.8,0.8889,0.0,16,52,0,4
cart,sinkhole,grayhole,2,"123456,234567","345678,456789,567890",58,10,4,6,126,54,0.9815,1.0,0.9333,0.9655,0.0,14,39,0,1
cart,sinkhole,grayhole,3,"123456,234567,345678","456789,567890",58,10,6,4,144,36,1.0,1.0,1.0,1.0,0.0,10,26,0,0
cart,sinkhole,increase_rank,0,,"123456,234567,345678,456789,567890",58,10,0,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cart,sinkhole,increase_rank,1,123456,"234567,345678,456789,567890",58,10,2,8,108,72,0.8333,0.6818,0.75,0.7143,0.1346,15,45,7,5
cart,sinkhole,increase_rank,2,"123456,234567","345678,456789,567890",58,10,4,6,126,54,0.8519,0.6667,0.9333,0.7778,0.1795,14,32,7,1
cart,sinkhole,increase_rank,3,"123456,234567,345678","456789,567890",58,10,6,4,144,36,0.8611,0.6667,1.0,0.8,0.1923,10,21,5,0
cart,sinkhole,sybil,0,,"123456,234567,345678,456789,567890",58,10,0,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cart,sinkhole,sybil,1,123456,"234567,345678,456789,567890",58,10,2,8,108,72,1.0,1.0,1.0,1.0,0.0,20,52,0,0
cart,sinkhole,sybil,2,"123456,234567","345678,456789,567890",58,10,4,6,126,54,1.0,1.0,1.0,1.0,0.0,15,39,0,0
