evaluation,model,train_family,test_family,features_used,train_runs,test_runs,train_windows,test_windows,accuracy,precision,recall,f1,fpr,tp,tn,fp,fn
cross_attack,cart,wormhole,dis_flood,69,10,10,90,90,0.3889,0.3125,1.0,0.4762,0.8462,25,10,55,0
cross_attack,cart,wormhole,grayhole,69,10,10,90,90,0.3889,0.3125,1.0,0.4762,0.8462,25,10,55,0
cross_attack,cart,wormhole,increase_rank,69,10,10,90,90,0.3889,0.3125,1.0,0.4762,0.8462,25,10,55,0
cross_attack,cart,wormhole,sinkhole,69,10,10,90,90,0.3889,0.3125,1.0,0.4762,0.8462,25,10,55,0
cross_attack,cart,wormhole,sybil,69,10,10,90,90,0.3889,0.3125,1.0,0.4762,0.8462,25,10,55,0
in_domain,cart,wormhole,wormhole,69,10,10,90,90,1.0,1.0,1.0,1.0,0.0,25,65,0,0
cross_attack,cart,wormhole,worst_parent,69,10,10,90,90,0.3889,0.3125,1.0,0.4762,0.8462,25,10,55,0
cross_attack,cart,worst_parent,blackhole,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,worst_parent,dio_suppression,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,worst_parent,dis_flood,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,worst_parent,grayhole,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,worst_parent,increase_rank,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,worst_parent,sinkhole,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,worst_parent,sybil,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
cross_attack,cart,worst_parent,wormhole,69,10,10,90,90,0.7222,0.0,0.0,0.0,0.0,0,65,0,25
in_domain,cart,worst_parent,worst_parent,69,10,10,90,90,1.0,1.0,1.0,1.0,0.0,25,65,0,0
