model,source_family,target_family,adaptation_seed_count,splits,mean_accuracy,mean_precision,mean_recall,mean_f1,mean_fpr
cart,sinkhole,sybil,3,1,1.0,1.0,1.0,1.0,0.0
cart,sinkhole,wormhole,0,1,0.7222,0.0,0.0,0.0,0.0
cart,sinkhole,wormhole,1,1,0.8889,0.875,0.7,0.7778,0.0385
cart,sinkhole,wormhole,2,1,0.8519,0.8182,0.6,0.6923,0.0513
cart,sinkhole,wormhole,3,1,0.8333,0.6667,0.8,0.7273,0.1538
cart,sinkhole,worst_parent,0,1,0.7222,0.0,0.0,0.0,0.0
cart,sinkhole,worst_parent,1,1,1.0,1.0,1.0,1.0,0.0
cart,sinkhole,worst_parent,2,1,1.0,1.0,1.0,1.0,0.0
cart,sinkhole,worst_parent,3,1,1.0,1.0,1.0,1.0,0.0
cart,sybil,blackhole,0,1,0.7222,0.0,0.0,0.0,0.0
cart,sybil,blackhole,1,1,1.0,1.0,1.0,1.0,0.0
cart,sybil,blackhole,2,1,1.0,1.0,1.0,1.0,0.0
cart,sybil,blackhole,3,1,1.0,1.0,1.0,1.0,0.0
cart,sybil,dio_suppression,0,1,0.7222,0.0,0.0,0.0,0.0
cart,sybil,dio_suppression,1,1,0.7222,0.0,0.0,0.0,0.0
cart,sybil,dio_suppression,2,1,0.7222,0.0,0.0,0.0,0.0
cart,sybil,dio_suppression,3,1,0.7222,0.0,0.0,0.0,0.0
cart,sybil,dis_flood,0,1,1.0,1.0,1.0,1.0,0.0
cart,sybil,dis_flood,1,1,1.0,1.0,1.0,1.0,0.0
cart,sybil,dis_flood,2,1,1.0,1.0,1.0,1.0,0.0
cart,sybil,dis_flood,3,1,1.0,1.0,1.0,1.0,0.0
cart,sybil,grayhole,0,1,0.7222,0.0,0.0,0.0,0.0
cart,sybil,grayhole,1,1,0.9444,1.0,0.8,0.8889,0.0
cart,sybil,grayhole,2,1,0.9815,1.0,0.9333,0.9655,0.0
cart,sybil,grayhole,3,1,1.0,1.0,1.0,1.0,0.0
cart,sybil,increase_rank,0,1,0.7222,0.0,0.0,0.0,0.0
cart,sybil,increase_rank,1,1,0.875,1.0,0.55,0.7097,0.0
cart,sybil,increase_rank,2,1,0.8889,1.0,0.6,0.75,0.0
cart,sybil,increase_rank,3,1,0.9167,1.0,0.7,0.8235,0.0
cart,sybil,sinkhole,0,1,0.7222,0.0,0.0,0.0,0.0
cart,sybil,sinkhole,1,1,1.0,1.0,1.0,1.0,0.0
cart,sybil,sinkhole,2,1,1.0,1.0,1.0,1.0,0.0
cart,sybil,sinkhole,3,1,1.0,1.0,1.0,1.0,0.0
cart,sybil,wormhole,0,1,0.7222,0.0,0.0,0.0,0.0
cart,sybil,wormhole,1,1,1.0,1.0,1.0,1.0,0.0
cart,sybil,wormhole,2,1,1.0,1.0,1.0,1.0,0.0
cart,sybil,wormhole,3,1,1.0,1.0,1.0,1.0,0.0
cart,sybil,worst_parent,0,1,1.0,1.0,1.0,1.0,0.0
cart,sybil,worst_parent,1,1,1.0,1.0,1.0,1.0,0.0
cart,sybil,worst_parent,2,1,1.0,1.0,1.0,1.0,0.0
cart,sybil,worst_parent,3,1,1.0,1.0,1.0,1.0,0.0
cart,wormhole,blackhole,0,1,0.3889,0.3125,1.0,0.4762,0.8462
cart,wormhole,blackhole,1,1,1.0,1.0,1.0,1.0,0.0
cart,wormhole,blackhole,2,1,0.8704,1.0,0.5333,0.6957,0.0
cart,wormhole,blackhole,3,1,0.9722,1.0,0.9,0.9474,0.0
cart,wormhole,dio_suppression,0,1,0.3889,0.3125,1.0,0.4762,0.8462
cart,wormhole,dio_suppression,1,1,0.7778,0.5909,0.65,0.619,0.1731
cart,wormhole,dio_suppression,2,1,0.7963,0.5769,1.0,0.7317,0.2821
cart,wormhole,dio_suppression,3,1,0.8056,0.5882,1.0,0.7407,0.2692
