algorithm,episode,family,seed,defender_reward,adversary_q_sinkhole,adversary_q_sybil
ddqn,52,sybil,123456,-14.52,9.2378,13.2556
ddqn,53,sinkhole,234567,-4.64,8.5482,13.2556
ddqn,54,sinkhole,345678,-14.28,9.4079,13.2556
ddqn,55,sinkhole,123456,-14.28,10.1388,13.2556
ddqn,56,sinkhole,234567,-4.4,9.2779,13.2556
ddqn,57,sybil,345678,-9.64,9.2779,12.7132
ddqn,58,sybil,123456,-14.5,9.2779,12.9812
ddqn,59,sybil,234567,-4.1,9.2779,11.6491
ddqn,60,sinkhole,345678,-14.22,10.0192,11.6491
ddqn,61,sinkhole,123456,-14.22,10.6494,11.6491
ddqn,62,sybil,234567,-4.14,10.6494,10.5227
ddqn,63,sinkhole,345678,-14.16,11.176,10.5227
ddqn,64,sinkhole,123456,-9.24,10.8856,10.5227
ddqn,65,sinkhole,234567,-4.48,9.9247,10.5227
ddqn,66,sybil,345678,-14.38,9.9247,11.1013
ddqn,67,sybil,123456,-14.26,9.9247,11.5751
ddqn,68,sybil,234567,-14.34,9.9247,11.9898
ddqn,69,sybil,345678,-9.52,9.9247,11.6194
ddqn,70,sinkhole,123456,-14.14,10.557,11.6194
ddqn,71,sinkhole,234567,-9.22,10.3565,11.6194
ddqn,72,sybil,345678,-9.22,10.3565,11.2595
ddqn,73,sybil,123456,-14.26,10.3565,11.7095
ddqn,74,sybil,234567,-14.2,10.3565,12.0831
ddqn,75,sybil,345678,-14.32,10.3565,12.4186
ddqn,76,sinkhole,123456,-9.14,10.174,12.4186
ddqn,77,sybil,234567,-14.0,10.174,12.6558
ddqn,78,sinkhole,345678,-14.1,10.7629,12.6558
ddqn,79,sybil,123456,-14.36,10.7629,12.9115
ddqn,80,sybil,234567,-14.28,10.7629,13.1167
ddqn,81,sybil,345678,-14.34,10.7629,13.3002
ddqn,82,sinkhole,123456,-14.0,11.2485,13.3002
ddqn,83,sybil,234567,-14.1,11.2485,13.4202
ddqn,84,sybil,345678,-14.18,11.2485,13.5342
ddqn,85,sybil,123456,-14.2,11.2485,13.634
ddqn,86,sybil,234567,-4.06,11.2485,12.1979
ddqn,87,sinkhole,345678,-14.1,11.6762,12.1979
ddqn,88,sybil,123456,-14.26,11.6762,12.5072
ddqn,89,sybil,234567,-14.5,11.6762,12.8062
ddqn,90,sybil,345678,-14.3,11.6762,13.0302
ddqn,91,sybil,123456,-14.36,11.6762,13.2297
ddqn,92,sinkhole,234567,-4.52,10.6028,13.2297
ddqn,93,sinkhole,345678,-14.26,11.1513,13.2297
ddqn,94,sybil,123456,-14.4,11.1513,13.4052
ddqn,95,sybil,234567,-14.24,11.1513,13.5305
ddqn,96,sybil,345678,-14.1,11.1513,13.6159
ddqn,97,sybil,123456,-14.16,11.1513,13.6975
ddqn,98,sinkhole,234567,-4.2,10.1086,13.6975
ddqn,99,sybil,345678,-14.18,10.1086,13.7699
ddqn,100,sybil,123456,-14.56,10.1086,13.8884
ddqn,101,sybil,234567,-14.42,10.1086,13.9681
ddqn,102,sybil,345678,-9.48,10.1086,13.2949
ddqn,103,sinkhole,123456,-9.24,9.9784,13.2949
ddqn,104,sybil,234567,-14.08,9.9784,13.4127
ddqn,105,sybil,345678,-14.38,9.9784,13.5578
ddqn,106,sybil,123456,-14.24,9.9784,13.6601
ddqn,107,sybil,234567,-14.24,9.9784,13.7471
ddqn,108,sinkhole,345678,-14.26,10.6206,13.7471
ddqn,109,sybil,123456,-14.02,10.6206,13.788
ddqn,110,sinkhole,234567,-14.1,11.1425,13.788
ddqn,111,sybil,345678,-9.12,11.1425,13.0878
ddqn,112,sybil,123456,-9.12,11.1425,12.4927
ddqn,113,sinkhole,234567,-9.32,10.8691,12.4927
ddqn,114,sinkhole,345678,-14.56,11.4228,12.4927
ddqn,115,sybil,123456,-14.22,11.4228,12.7518
ddqn,116,sybil,234567,-14.16,11.4228,12.963
